Title,Note,URL,Tags,Comment
Newhaven Quay Brewers Fayre,,https://www.google.com/maps/place/Newhaven+Quay+Brewers+Fayre/data=!4m2!3m1!1s0x4887c7fd43db291f:0xd4352f1bb390485c,,
Hemingway's,,https://www.google.com/maps/place/Hemingway's/data=!4m2!3m1!1s0x4887b9c518606d0b:0x74f193a3f15fe1e2,,
The Voodoo Rooms,,https://www.google.com/maps/place/The+Voodoo+Rooms/data=!4m2!3m1!1s0x4887c78e37c78d81:0x37b0932f8d58c00,,
The Playfair - JD Wetherspoon,,https://www.google.com/maps/place/The+Playfair+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c78ea53f15a9:0xd6f9af7a24fc58a0,,
Edinburgh Street Food,,https://www.google.com/maps/place/Edinburgh+Street+Food/data=!4m2!3m1!1s0x4887c7e593c2d0a7:0x8230fd781939102d,,
The Guildford Arms,,https://www.google.com/maps/place/The+Guildford+Arms/data=!4m2!3m1!1s0x4887c78e37c78d81:0x91af5b7e186538ba,,
Cafe Royal,,https://www.google.com/maps/place/Cafe+Royal/data=!4m2!3m1!1s0x4887c78e37804d77:0x5752a589f142d287,,
Tiles Bar,,https://www.google.com/maps/place/Tiles+Bar/data=!4m2!3m1!1s0x4887c791d3f86ad1:0xad1cb9a123294d7b,,
The Alchemist George Street,,https://www.google.com/maps/place/The+Alchemist+George+Street/data=!4m2!3m1!1s0x4887c72730c9ac01:0xfe7bcaff7b16b5ed,,
The Standing Order - JD Wetherspoon,,https://www.google.com/maps/place/The+Standing+Order+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c7912a137c05:0xb2578a185d3fde70,,
All Bar One George St Edinburgh,,https://www.google.com/maps/place/All+Bar+One+George+St+Edinburgh/data=!4m2!3m1!1s0x4887c791a094d621:0x6aa1bae54f2611d7,,
The Angels Share Restaurant,,https://www.google.com/maps/place/The+Angels+Share+Restaurant/data=!4m2!3m1!1s0x4887c7d17d58ebad:0x7749e319852003f6,,
The Alexander Graham Bell - JD Wetherspoon,,https://www.google.com/maps/place/The+Alexander+Graham+Bell+-+JD+Wetherspoon/data=!4m2!3m1!1s0x4887c797d8519db3:0xe92c60096f1929ff,,
Tigerlily,,https://www.google.com/maps/place/Tigerlily/data=!4m2!3m1!1s0x4887c797d0ff95e3:0x512c4f0f643f867c,,
